id,Category,_Term,Description
1171,Exicon,Guantanamo,Pax in a circle on their backs heels up. First pax jumps up and pushes the feet down around the circle fighting to keep legs off the ground. Followed by next pax in line then hit the ground legs up when back to your start position until last man finishes the circle.
1172,Exicon,Gunners,"The PAX completes a set of exercises in succession of the process of the firing of a gun.  Hammer, to explosion, to barrel path PAX lines up in a across an open field on their Six. Complete a number of American Hammers and explosive exercise (eg. Burpees, Jump Squats) as set by the Q  AYG Sprint to a point set by the Q Repeat Exercise pattern again."
1173,Exicon,Gunpowder Plot,"All PAX line up on one side of a parking lot, 11 of one exercise, hold relevant position for the six (arms = plank, legs = al gore, abs = six inches); sprint to next parking line, 5 of a different, more intense exercise, hold relevant position for the six, sprint to next line, rinse/repeat all the way across. PAX may revolt depending on the size of the parking lot. Named for the November 5th “Gunpowder Plot” of 1605 referenced in the movie V for Vendetta."
1174,Exicon,Gut Busters,Everyone starts in and holds a plank during the Ghostbusters song. Every time they say “Ghost Busters” you complete a burpee. In the “I ain’t afraid of no ghosts” sections do plank jacks in rhythm. Bustin’ makes everyone feel good!!!! 
1175,Exicon,Gwerkin,"Modified ""Squerkin."" Instead of holding partner's legs at side, hold partner's feet together in ""goblet squat"" position, or put partner's feet on your shoulders."
1176,Exicon,Hail Mary,"Partner up, near picnic table or other such object. First man planking on ground, second man with his legs on first back doing dips with his hands on picnic table. flapjack after each set."
1177,Exicon,Hair Burners,"To push weight plates (10s, 25s, 35s or 45s) across the ground in a parking lot or around a track for a given time or distance. An Area 51 Tiger Rag special."
1178,Exicon,Hairband Mile,A Mental Marathon with an Actual Run or Jogging Distance equal to or less than 1/4 mile. Named in honor of Hairband who claims to hate running but is secretly a closet runner.
1179,Exicon,Hairy Rockettes,"Often called the alternating toe touch, PAX will start by standing with feet at shoulder width with arms extended out to sides. With a four count cadence, exercise will start by bringing right foot up to left hand for count 1 with leg kept as straight as possible. Return right foot to ground for count 2, followed by left foot to right hand for count 3. Return left foot to ground to complete count."
1180,Exicon,Hallelujahs,Have hands raised during any or all exercises...(creates a Major Burn..)
1181,Exicon,Halo,Hold coupon in both hands while standing. Maneuver it around your head. Each time you circle your head look through the opening (if cinder block). Then change directions.
1182,Exicon,Hand Release Prisoner Cell Merkin Burpees aka HRPCMBs,"Same as PCMBs except the Merkins are replaced with Hand Release Merkins. Drop to Plank, do 1 Hand Release Merkin then bring your right knee in and back, do 1 Hand Release Merkin then bring your left knee in and back, do 1 Hand Release Merkin then bring both feet in and jump up = 1 HRPCMB complete. You think PCMBs are bad? Wait until you try these."
1183,Exicon,Hands of Time,"Close COP with PAX on their 6's, heads in the center with legs out. (as though forming a clock). Q starts the PAX, legs up at 90 degrees, hands under your rear. One PAX at a time in a wave like motion- Each PAX counts off aloud as they drop and hold 1,2,3, etc around the circle until finished (suggested 60,120,180,240). Drop straightened legs to 10 degrees and hold until a full revolution has been made (as the second hands would move around a clock) then return to 90 degrees and repeat until smoked! Alternate version... MICKEY'S Hands of Time, similar to above but with a partner standing over the PAX on the ground and ""Throwing down"" their legs to the left or right instead or straight forward. Do not let the legs touch the ground during the exercise!"
1184,Exicon,Hanging Toe Touch,Hanging from monkey bars facing crossways of bars. Normally hanging from a bar in each hand. Swing feet up to touch opposite side of monkey bars.
1185,Exicon,Happy Jacks,"Do 5 side straddle hops in cadence then after the 5th one everyone does two jump squats. Like this... Side Straddle Hops IC: One, two, three, ONE! One, two, three, TWO! One, two, three, THREE! One, two, three, FOUR! One, two, three, FIVE! Quickly followed by two jump squats. Repeat 4x or until no one can breathe."
1186,Exicon,Hard Knock Annie,"This is like an Annie, but only if her rag is a cinder block. Begin in a merkin position with a coupon to your right side, even with your chest. Perform one merkin. Reach under your body with your left arm and drag the coupon to your left side. Perform another Merkin. Reach under your body with your right arm and drag the coupon to your right side. Great core workout and works those back muscles as you pull the coupon indeed you."
1187,Exicon,Harley Quinn's,"Harley Quinn's, Margot Robbie's character in Suicide Squad, are a spin-off of classic suicides and performed on a football field or any field with set distances or cones. Two exercises are needed each round, Exercise A is performed on yardage that starts with odd number and Exercise B on yardage that starts with even number). Rounds consist of PAX starting on the end line, PAX run to the 10yd line, perform 10 reps of Exercise A, run back to baseline, Run to 20yd line and perform 20 reps of Exercise B, run back to baseline, 30yd= 30reps Ex A and so forth. (Yardage marker equals number of reps performed. Can do this down whole field or to set distance and back. (ie. 10,20,30,40,30,20,10) *For full football field, the opposite goal line = 10reps to ensure even count between the two exercises. Exercises can change after complete set is done. (ie. only going 40yd out and back). Harley Quinn's are best performed with a group!"
1188,Exicon,Harry Nilsson,"Start in flutter kick position, then play ""(Put the Lime in the) Coconut"". When Harry sings the word ""lime"", do a lemon squeezer (do a sit up while bringing your knees toward your chest until you tap the outside of your ankles with your hands). Before the song is over the PAX will also be asking if there's something ""to relieve this bellyache""."
1189,Exicon,Hash Pipe,"Purchased 10 iron pipes, 3/4"" x 30"", at Home Depot. Duck taped caps on the end. PAX1 takes a balanced straddle stance over PAX2 who is laying on his back. PAX1 is holding a 36"" iron pipe horizontally at upper thigh height. Arms straight, back arched, similar to a water skiing posture. PAX 2 reaches up and grabs a shoulder-width grip on the pipe and executes a reverse push-up. (Pull-up) After 20 reps you flapjack. We have also used the pipes for resistant curls. PAX1 Curls for the Girls, PAX2 pushes down on pipe."
1190,Exicon,Hatching Butterfly,"From the seated position place the bottom of your feet together as you would do if performing the butterfly stretch. Raise hands directly over your head, lay back as if performing a WWII sit-up and return to the starting position with hands over your head."
1191,Exicon,"Head and Shoulders, Knees and Toes","Raise and lower coupon to four different positions as Q sings or calls this exercise. 1. Head: hold the block in front of your face. 2. Shoulders: hold block at shoulder height 3. Knees: hold block at knee height. 4. Toes: hold block as low as you can get it without touching the ground. If you want to include “eyes, ears, mouth, nose”, hold block in front of head while making small movements up and down.  Repeat the song about 4 times."
1192,Exicon,"Head, Shoulders, Knees & Toes","Start with coupon on ground in front of you, feet shoulder width apart. 1) Deadlift coupon to thighs 2) Front Lateral Raise coupon, straight arms 3) Pull coupon, laterally, to chest 4) Press coupon overhead 5) Lower coupon behind your head, elbows pointing up 6) Extend coupon back over your head, keep elbows up 7) Lower coupon to chest 8) Extend coupon out laterally from chest, until arms straight 9) Lower coupon to thighs, arms straight 10) Lower coupon to ground, via reverse deadlift. That’s 1 rep. 15’ll hurt so make’em do 20!  Can be done in a group with a 10-count cadence or OYO. The PAX will never listen to the kid’s classic the same again."
1193,Exicon,"Heartbreak 1, 2, 3s","Heartbreak 1, 2, 3’s are modified Dora 1, 2, 3’s with a heartbreaking hill in place of the 100 meter sprint–a la the final soul-crushing hill in the Boston Marathon. Hill should be just steep enough that standing at the bottom looking up is enough to induce heartbreak when making that final run to the top. If you live in the flatlands, a very steep bridge abutment works just as well."
1194,Exicon,Heavy Freddies,Freddy Mercuries holding a rock/block 6 inches from the ground.
1195,Exicon,Heels to Heaven,"A traditional Mary exercise performed on the back.  Begin with heels up at 90 degrees.  Count cadence lowering the heels down to 6 inches, then thrust them back up to 90 degrees bringing your 6 off the pavement, thus shooting your heels to heaven."
1196,Exicon,Hernia,"The Hernia is a V-Up using a Coupon. Lying flat on your back, stretching arms above your head flat on the ground with coupon. Do a standard V-Up and bring coupon to toes in one motion. Careful to not hit shins. This works the full lower Abs, Lats, and triceps. Named after a Pax mentioned that it was going to cause a hernia!"
1197,Exicon,Hillbillies (or Hillbilly Walkers),Similar to Imperial Walkers but knee comes up to elbow on same side of body as side that knee is raised.
1198,Exicon,Hillbilly Squats,"Both hands behind your head, elbows out. Legs/feet set as in a sumo-squat ready position (feet slightly wider apart and pointed more outward than a normal LSS ready position). Initiate movement with a deep sumo squat, then transition to a hillbilly walker - after you thrust up you lift one knee up and side crunch the same side elbow down to where they both almost or lightly touch. Then place foot back down and straighten up from the side crunch. That's one rep. Repeat, alternating L-R sides as you go.  Could be called Sumo Hillbilly as well."
1199,Exicon,Hindenburg BLIMPS,"Modified version of BLIMPS. Done on a field. Perform exercise at corner #1, sprint to corner #2, perform exercise. Sprint to corner #3 perform exercise. Then to corner #4, exercise and then back to corner #1. Plank it up until all have finished. Thats one round. Round 1 - 10 Burpees; Round 2 - 20 Lunges; Round 3 - 30 Imperial Walkers; Round 4- 40 Merkins; Round 5 - 50 Plank Jacks; Round 6 - 60 Squats"
1200,Exicon,Hip Slapper,"Hands on the ground, feet on the wall, head and justifier facing the wall. Raise one hand and slap same side hip while balancing on other hand. Flapjack."
1201,Exicon,Holy Jacks,"A cousin of Jack Webbs, named after Holy Roller from F3 Louisville because he's a beast. The thang: 1 BOYO, 4 jump lunges. 2 BOYOS, 8 jump lunges. All the way up to 10 BOYOS, 40 jump lunges. This can also be done starting at the top of the ladder, starting with 10 BOYOS & 40 jump lunges then working your way down to 1 BOYO & 4 jump lunges, which is how it was done the first time in F3 Louisville on 4.9.2021."
1202,Exicon,Homer to Marge to Mr. Burns (also submitted as Homer-to-Marge Merry Relay),"As with much nomenclature in the Lake Norman area just north of Charlotte, we have a nuclear theme for this exercise. The Simpsons also lived within a 10 mile radius of a nuclear power plant where the potassium iodide pills only prolong the inevitible in the case of a meltdown. Homer is laying on your back and holding your feet 6 inches off the ground with your hands under your posterior. We raise our straight legs to vertical, which we call Marge (picture her hairdo) and then lower them on a 4 count to Homer. For an added twist (pun intended), from Marge, with your hands out to the side, lower your legs to the left and turn your head to the right for Mr. Burns (why? because it burns and he worked at the Springfield nuclear plant). Repeat on the other side. This can be done in cadence, slowly, quickly...mix it up!"
1203,Exicon,Hot Potato,"Pair up. Face each other. On your bums and lock ankles. Starting man grabs a paver or sandbag, tosses it over the head of his partner, then stays at 45 degrees. Partner catches the weight, falling to his back, touches the ground over his head with the weight , then performs a sit-up motion, tossing the weight back. Starting man performs the sit-up. Hit potato - get rid of that weight! / Perform for 90 seconds or as long as the Q has gas."
1204,Exicon,Howling Monkeys,"In a circle, everyone grabs their ankles in Monkey Humper fashion (or Gorilla Humper, for the fearless) . The first person does ten monkey humpers followed by the next person and so on as in other ""ring of fire"" exercises. Don't let go of the ankles! Depending on the number of PAX, two rounds seems to result in Howling Monkeys. This will definitely not be a crowd pleaser, and it might be better to not be seen by light of day in a public space."
1205,Exicon,HRBs,"Hand-release Burpees, aka Cross-fit Burpee."
1206,Exicon,Hundreds,Excercise position...on your 6. legs straight and at a 45 deg angle off the ground. head and shoulders off ground. arms straight and down by your side with palms facing ground. do quick 6 inch pulses with arms/hands until you reach 100.
1207,Exicon,HuRpee,Hand Release Merkin Burpee
1208,Exicon,Hurpees,Hand Releasing when going down to do a Burpee. Aka Hand-release burpees or HRRRPPes.
1209,Exicon,Hurricane Hoedown,"Flutter kick circuit performed in cadence: 7 IC Seated Flutter Kicks with hands raised in Hallelujahs. Move immediately to hands behind you. 7 IC slightly reclined flutterkicks. Move immediately to 7 IC normal flutter kicks. Move immediately to 7 IC LBC Flutter kicks. Rinse and repeat as needed. The real crowd pleaser is to work your way down the cadence ladder 7,6,5..."
1210,Exicon,Hydraulic Humper,"Added to a monkey humper or gorilla humper to increase the intensity of the burn in the legs. While at the nadir of the humper go down to the right knee, then the left knee, then back up in reverse, then complete the bumper."
1211,Exicon,Hydraulic Squat,"Begin by doing a squat, once in the squat position put your right knee on the ground followed by your left knee, next bring your right knee up followed by your left knee then stand up."
1212,Exicon,Ignore this,delete me
1213,Exicon,Imperial Blockers,"Standing, hold coupon in front at chin level (top of an arm curl). Lift your knee to the opposite arm's elbow"
1214,Exicon,Imperial Guard,Basically an imperial walker lunge walk. Right knee up with twist then lunches forward. Left knee up and twist and lunge forward. Continue until your destination or the PAX start whining. Then do one more.
1215,Exicon,Imperial Squat Walker,"Cruel cousin of the Imperial Walker. This 4-count exercise starts with hands clasp on head. Count 1 = a squat. Count 2 = stand up and bring one knee up to the opposite elbow. Count 3 = a squat. Count 4 = stand up, other knee to other elbow. Q should be mindful to count at a pace that allows/encourages a nice, deep squat. Rushing the count produces girly squats."
1216,Exicon,Imperial Stormkickers,Starts the same with arms behind the head. Bring the knees up and then extend for a front kick and back down. Then the other leg for a predetermined rep count. Basic front kick to be instructed but nothing too technical.
1217,Exicon,Imperial Walker,"Standing, hands on head as if you're doing a sit-up. While walking, as a group, in a clockwise direction around the Q (because we're not animals), lift your knee to the opposite arm's elbow.  Flapjack."
1218,Exicon,In the plank tonight,"Hold the plank position for the entirety of ""in the air tonight"" by Phil Collins."
1219,Exicon,Inch Worm,"All PAX line up in a good form plank, inch hands forward as far possible, when you can’t extend any further, inch feet forward until you are back in a standard plank, and repeat until all PAX have moved across field/parking lot."
1220,Exicon,Inch-Worm N'Diayes,"Proceed with a standard inch-worm but when you get completely stretch out in plank, perform a Makhtar N'Diayes before completing the remainder of the inch-worm. It adds a little extra burn to the core and few extra grunts from the pax!"
1221,Exicon,Indian Bear Crawl,"Line up head to toe in plank, guy at the end bear crawls to the front, then the next guy etc. While waiting PAX are doing Merkins."
1222,Exicon,Indian Crab Walk,"While lined up on your six, the guy in the back crabwalks to the front, then next guy, etc. Guys on 6 are doing LBCs while waiting."
1223,Exicon,Indian Run 11s,Standard Elevens with PAX in Indian run formation. All PAX complete 1st exercise together and then run in formation to perform 2nd excercise at next location approximately 400-500 yards apart.
1224,Exicon,Individual Medley,"Swimming has the individual medley (IM), swim all 4 strokes in one event. The F3 IM is 4 favorite F3 exercises done for a specific number of reps on a time interval. Exercises are Burpees, Merkins, Flutterkick, SSH. Start with 5 reps of each exercise. 5 Burpees, 5 Merkins, 5 2 count flutter kicks, 5 SSH, start a new set every 1:30, add a rep until you get to 10 of each. If you're fast you get loads of rest. If it takes you 89 seconds to complete the set you have 1 second to recover. When you miss a set, sit that one out and jump in the next number. If the group has beast and beastest pax the beastest guys can start at 8 and go up while the regular beasts of F3 start at 5. Variations, reduce time or go for the highest number you can hold for 10 sets. Swimmers will get this right away..."
1225,Exicon,Injured seal,Early morning Surfee (shark feeding time)
1226,Exicon,Intentional Thinker,"Great for a change from simple 10-count between exercises. Form is critical! Kneel on your right knee with left upper leg parallel to ground and knee joint making a 90 degree angle. Rest left elbow on left knee and rest chin on left fist. Remain stationary as the Q says either ""down"" or ""up"" and count until Q is satisfied. At the next ""rest"" period, rinse and repeat with other leg ... to maintain symmetric training of course."
1227,Exicon,Iron Hulk,"Big brother of Jack Webbs and Jack Jack Webbs. Essentially performing Jack Webbs with a 1:4 ratio of merkin to air press. Your shoulders and chest feel pumped up like Hulk, but the air starts feeling as heavy as Iron Man's suit."
1228,Exicon,Iron Mike,"A much cooler name for ""jump lunges"", ""lunge jumps"", or ""scissors jumps""... performed in various military units as a grinder exercise. A 4-count exercise: ONE- left leg lunge, TWO- jump up from lunge position reversing legs in the air, THREE- right leg lunge, FOUR- jump up from lunge position reversing legs in air... repeat as necessary to end Mumble Chatter."
1229,Exicon,Iron Squat,Squat thruster but with arm movement like iron cross lifting brick or paver from side up to straight across shoulders. In 4 count cadence or oyo. 1: down squat with arms down. 2: arms raised to parallel. 3: arms down. 4: stand from squat.
1230,Exicon,Island Hoppers,"Utilize three concrete planters or similar. Starting from the ground in a plank position, bear crawl up onto the first planter/""Island"" and continue to bear crawl across the wall to the mid-point of the first planter. Stop and do a predetermined number of Merkins. Continue to the next ""Island,"" and do another set of Merkins. Then proceed to the final ""Island,"" and do another set of Merkins. These planters are of varying heights and widths making your Merkins vary from diamond to regular while challenging you to stay on the walls. Two PAX can start at the same time, thus making the workout truly intense and challenging. Increase or decrease the level of WO by increasing/decreasing the distance on the initial bear crawl before getting on the ""Island"" or by increasing/decreasing the number of Merkins done at each ""Island."""
1231,Exicon,Jack Jack Webbs,"A Jack Webb with a Plank Jack following the Merkin. Example of a 2 count would be DOWN (Merkin), JACK (Plank Jack), ""ONE"" DOWN (Merkin), JACK (Plank Jack), ""TWO"", then onto your knees for the count of shoulder presses or over the head claps (2 COUNT). Ascending count to 10."
1232,Exicon,Jack Knives,Jack Webbs as usual. Only Difference is Dumbells are used for the Hallelujah motion.
1233,Exicon,Jack Moses,"The Jack Moses is a cousin to both the Jack Webb and Iron Hulk. Pax circle up for a plank jack and then stand to lock hands (please don't hold hands) for air presses in 1:4 ratio. (May be used to point to leadership lessons from account of Moses' arms becoming tired and those who came along side to hold them up). Or use at next 2nd F. Look smooth as you belly up and order a ""Jack Moses please. Shaken not stirred."""
1235,Exicon,Jack Wabs,"Mary version of Jack Webbs coined by Knope from Churham. 1 Big Boy Sit-Up, 4 LBCs SC, going up by ones and fours until you hit 10 Big Boys and 40 LBCs. It's a grinder."
1236,Exicon,Jack Webbs,"A merkin then 4 air press combination initiated on the Q's command, with an ascending rep count of each, usually up to 10 merkins and 40 air presses. Can also sub overhead claps for the air presses if you really want some complaining."
1237,Exicon,Jack Weggs,"A Jack Webb for legs, hence the name. One squat followed by 4 single count reverse lunges, then two squats followed by 8 single count reverse lunges, and so on until you hit 10 Squats and 40 reverse lunges. Sneaks up on you. Spice it up by adding weight or switching to jump squat and/or jump lunge."
1239,Exicon,Jackass Burpee Webb,"Find a wall.  Perform exercise like a Jack Webb but do 1 Burpee to 2 Donkey kicks, if you make it to 10 rounds you are a beast."
1240,Exicon,JackAss Merkin,Perform a merkin straight into a double-leg donkey kick. Rinse. Repeat.
1241,Exicon,Jacked Up,"A series of different types of jumping jack exercises performed with a descending count in cadence.    A typical Jacked Up would go as follows:  SSH x 50 IC  Seal Jacks x 40 IC  Plank Jacks x 30 IC  Crossover Squat Jacks (aka Deny Terio) x 20 IC  Smurf Jacks x 10 IC  Alternatively, the Q can keep the count all the same."
1242,Exicon,Jackees,Burpee Variation with SSH at the top instead of just a jump
1243,Exicon,Jackhammer,"The starting position is the squat position just above 90 degrees (thighs parallel with ground) while keeping the body quiet, jump as quickly as possible with just using the lower body repeat this as many times in the set time (30 seconds suggested)"
1244,Exicon,Jacob's Ladder,"Seven times up the hill, with an increasing number of burpees at the top each trip up. See F3 TV."
1245,Exicon,James Bonds,On your 6 in seated row position (leaning back with legs about 10 inches off the ground) hold your hands in front of you like your holding a gun. Hold for 10 count and then slowly point your finger gun to the right for 10 count. Swing finger gun all the way to the left for 10 count and then back to the middle for hold as long as you want.
1246,Exicon,Jenner Jump Over,"Jumping over a vertical coupon instead of horizontal. In honor of Jenner (F3 The Capital Region) on the occasion of his 40th Birthday. Any exercise that is made a little harder is doing that exercise ""Jenner Style"""
1247,Exicon,Jerry Rice,Find the biggest hill and sprint up! Rinse and repeat as necessary.
1248,Exicon,Jim Braddock,"Ever see the movie Cinderella Man? This one is named after the heavy weight champion during the Great Depression in the 1930's who eventually went on to fight in WWII. You start with a WWII sit up, and up top throw a RH hook and a RH uppercut then go back down. Come back up and do the same with the left side. Rinse & repeat to the Q's desire. Much better flow if you do a RH Hook followed by a LH Uppercut, and then alternate to a LH Hook and RH Uppercut."
1249,Exicon,Jimi Hendrix,Hold an Al Gore while performing air guitar motions. Can be done in cadence
1250,Exicon,Jingle Balls,"From the plank position, move right foot to right hand, back, right foot to left hand, back, left foot to left hand, back, left foot to right band, back."
1251,Exicon,J-Los,"There are two separate defitions. Definition 1:  Preparatory position of all 4's (hands & knees), start position is to draw one knee into your chest. Exercise is done to slowish pace 4-count and then repeated for the other leg. First, extend leg straight out to the rear, parallel to spine; second, swing leg out as wide as possible; third, bring leg back to straight behind, parallel with spine; fourth, bring knee back to chest. Enough of these will have abs & glutes feeling the burn. Variation for the bold: do from side plank position. Definition two: From low-plank position, touch right hip to ground, then back to center. Touch left hip to ground, back to center. Down in four-count cadence."
1252,Exicon,Joe Derk,"While doing Joe Hendricks, complete a derkin for every step."
1253,Exicon,Joe Hendricks,Backward bear crawl up an incline--the steeper and longer the better. Named after guy who leads free workouts at Red Rocks Amphitheater in Denver.
1254,Exicon,Joe Louis,4 count exercise starting from a boxers stance (dominant hand side foot leading: right-handers lead with right foot)  Count 1: Punch with the dominant hand Count 2: Punch with the non-dominant hand Count 3: Duck down to just above the waist level as if avoiding a punch Count 4: Recover to the boxer stance
1255,Exicon,Johnny Cash,"Any combination of Ring of Fire exercises. Circle up in plank position or on your 6 for ab exercises. PAX hold plank/six while one man does reps of exercise. When he finishes the next man does reps until all in circle have done it. ""It burns, burns, burns, that Ring of Fire"""
1256,Exicon,Johnny Drama,"Stand with your toes on a stair. One hand on the handrail to the side. Drop your heels below the stair, and then do a calf raise (Technically a Negative Calf Raise). Johnny Drama wanted Calf implants because his calves were not big enough - get them bigger using this. Will smoke the PAX when multiple sets of 25+ are done in workout and folks start running funny."
1257,Exicon,Johnny Roscoes,Similar to UP and DOWNS but Chop your feet or high knees. On Q’s signal you drop to the the dirt and roll over then bounce back up and resume chopping or high knees until Q signals again roll RIGHT or LEFT.
1258,Exicon,Juggernaut,One PAX straps on a ruck (30 or 45 lb.) and carries two kettlebells (each in one hand; 30 or 45 lb.) while doing lunges to and from a certain point and back (typically 50 yards round trip). 30 lb. kettlebells and ruck weight for the regular Juggernaut; 45 lb. kettlebells for Super Juggernaut. Pax can carry kettlebells as farmer carries or lifted above the head for Ultra Juggernaut status.
1259,Exicon,Jump Squat Holds,"As a group, perform jump squats counting down from 10 to 1. Then hold an Al Gore counting down from 10 to 1. Repeat starting at 9 then 8, etc... Surprise the group by holding the last Al Gore for 10 seconds. Its sure to bring out the mumbles."
1260,Exicon,Jump Ups,"On a low wall, jump with both feet from ground up on the wall and back to the ground. Usually done as a ladder along with another exercise."
1261,Exicon,Jumping Jack Burpee Flash,Start with 10 jumpin jacks(Side Straddle Hops) then quickly follow with 10 burpees. AMRAP. If doing 4 or more sets can break it in half and do 20 LBCs.
1262,Exicon,Jumping Jack Burpee Flash Pull-ups,"Not a very creative name, but basically, I took the Jumping Jack Burpee Flash, and modified it to: Start with 20 Side Straddle Hops, quickly follow with 10 burps, quickly follow with 10 pull-ups. Rinse and Repeat. 20 LBCs. Start over and rinse and repeat whole series as many times as wanted or AMRAP it on the clock."
1263,Exicon,Jumping Spider,Plyometric merkin. Merkin with a bounce on the up (getting feet & hands off the ground.
1264,Exicon,Jump-Pumps,Broad Jump followed by a round of Merkins(QIC determines amount).  Usually done climbing a hill or traversing a field.
1265,Exicon,Katydid Burpee,"Start in standing postion, bring hands to feet, jump feet back to plank position. Merkin. THEN inchwarm hands to feet and broad jump to start. My M (Katie aka Mama Moose) dropped this on us F3 boys. Oh no she didn't! Oh YES Katydid!"
1266,Exicon,Killer Bees,"The Killer B's are Bear Crawl, Broad Jump, and Burpees. PAX Bear crawl roughly 100ft or distance specified by Q, then Broad jump back to start, every 5 broad jumps, PAX performs 3 Burpees. Specified # of Sets or timed AMRAP works well."
1267,Exicon,Killer Beta,"Named after Tropical Storm Beta which hit the Houston area in SEP2020.  Find a low wall, parking stop, bike rack, use a coupon, or anything else to elevate half your body.  Complete 10 Incline Merkins IC MC then spin to complete 10 Decline Merkins IC MC then spin to complete 9 Incline Merkins IC MC then spin to complete 9 decline Merkins IC MC.  Continue spinning around like a Tropical Storm but not back and forth like a washing machine until 1 of each Merkin is completed."
1268,Exicon,King Arthur,"A form of non-running mosey in which one pretends to ride one's horse in a Kingly fashion, while ""Patsy"" bags two halves of a coconut together, providing hoofbeats for cadence. Requires two halves of a coconut and a volunteer to be ""Patsy"". Proper form, and proper mount/dismount adds veracity. See Monty Python and the Holy Grail for example. Not sure if should be an exercise, or just added to Lexicon......does work the shins, however..."
1269,Exicon,King of Hearts,"Series of suicides of varying variety (e.g, regular, karaoke suicides. Backward run suicides.)"
1270,Exicon,Kissing Under the Arch,"Plank position,right elbow touches left knee X10 repeto other side"
1271,Exicon,Knerkin,"Aka the ""Chuck Norris,"" The Knerkin is a tradtional Merkin but performed using the knuckles instead of the open hand."
1272,Exicon,Kraken Burpee,"A Burpee that is performed with 3 hand-release Merkins at the bottom... As in ""Release the Kraken"". Originated in Lake Wylie (hence the nautical theme), hated by all."
1273,Exicon,Kurpee,"It's like a burpee and a traditional kettle bell turkish getup had a love child. Starting with the bell in one hand by your side, drop down for a merkin (one hand raised up on the bell). When coming up instead of jumping and clapping push the kettle bell to an overhead lock out. Bring it back down to your waist and switch hands - that's 1."
1274,Exicon,La La Leggy,"This consists of doing squats, lunges (both legs), drop lunges (both legs), squat jumps, and calf raises repeated one after the other usually 20 reps each with no rest. A good finisher to a workout."
1275,Exicon,Ladder Jacks,"Two jacks each of side straddle hpop, seal jack, smurf jack, plank jack, and bow jack. Down and back up is one rep."
1276,Exicon,LAMBS,"10 LBCs, 20 American Hammers, 30 Merkins, 40 Big Boy Sit-ups, and 50 Squats.  Rinse and repeat as needed.  Can be done to cross a field, lot, or as pearls on a string."
1277,Exicon,Landline Ladder,"Starting at the end of a parking lot...perform 1 rep (hand release merkin) at the the first line, bear craw to 2nd line and perform 2 reps, bear crawl to 3rd line and perform 3 reps...continue increasing reps until your arms fall off or you make it across the parking lot. Plank or Shoulder Taps until all in. Alternative is Squats (or Jump Squats) increasing reps at each line and lunge walking in between as mode of transport. Al Gore until all in."
1278,Exicon,Laney Lu Plank and Merk,"From your six, get in the V-up (Laney Lu) position....hold 10x IC, then roll right or left to low plank, hold 10x IC, then perform 1x merkin. Thats 1 Laney Lu Plank and Merk. After merkin, back to Laney Lu hold. Repeato 5x for a burn....10x for a man burn. (cred to RepoMan on the Laney Lu, his 2.0 showed him the V-up move)."
1279,Exicon,Lazy Clogger,"On your six, hands at side, hips thrusted and feet flat below knees = starting position.  In cadence, step each foot out to heels then back in to flat on the ground.  Like a hamstring walkout.  Done in cadence"
1280,Exicon,Lazy Doras,"An estranged and despised relative of Dora 1-2-3. Partner up. Partners perform 100 Merkins, 200 LBCs, & 300 Squats as a team. Here’s the catch…no running. P1 starts with 10 Merkins while P2 planks, then switch. Continue switching between Merkins and plank until 100 total Merkins reached. Next, while P1 does 20 LBCs, P2 performs a 6"" leg hold until P1 is finished, then switch. Continue switching until all 200 LBCs are completed. Finally, P1 does 25 squats while P2 does squat hold, then switch. Continue switching until 300 total squats are completed."
1281,Exicon,Lazy Susan,"PAX assemble in a circle on six with backs to center of the ring.  Every other PAX is equipped with Cindy.  On Q's command, PAX begin passing Cindy from right to left for predetermined period of time.  Recover.  Pass Cindy from left to right for predetermined period of time.  Rinse and repeat as desired.  Substitute American Hammers for recovery period to really endear yourself to fellow PAX."
1282,Exicon,LBBC,"LBC with legs up high and holding a coupon, half coupon, or bricks, crunch up and touch the coupon to your feet."
1283,Exicon,LBCs,"The ""Little Baby Crunch."" Aka a crunch/sit-up."
1284,Exicon,LBFCs,"Aka Little Baby Flutter Crunch. On your 6, feet do flutter kick while upper body does crunch. Ignore number of times your legs move, only count crunches."
1285,Exicon,LBS,Little Baby Sumo is perfomed by doing a sumo squat but only moving 1 inch up and down.  HIM must perform this for more than 2 minutes to feel the burn.
1286,Exicon,Learning To Phelps,"Similar to Learning to Fly with 4 count squat except instead of arm circles PAX slap their back like the Olympic Swimmer, Michael Phelps"
1287,Exicon,Leeroy Jenkins,"Leeroy Jenkins is gaming slang for a person or thing that causes everything to go wrong for everyone else, usually in some extraordinary fashion. Whatever the PAX are doing, no matter the routine, someone can call out ""LEEROY JENKINS"" and PAX must quickly line up for a sprint (around 80-100 yds marked by cones or on a football field) and finish with 5 burpees. ***For a group of more than 10 PAX - Once you call it, you cannot call it again lest you get the penalty of x2 Leeroy's. Note: Calling of the LJ SHOULD have Q approval at the beginning of the Beatdown. Else this would be considered a Q Jackman"
1288,Exicon,Leg Barchetta,Modeled on the Red Barchetta but focusing solely on legs. Run 100 yards. 100 air squats. Run 75 yards. 75 Sumo squats. Run 50 yards. 50 Plank squats. Run 25 yards. 25 lunges (Single count). Run 10 yards. 10 Jump squats.
